model_rel_path	diff_count	first_diff
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg	20	children[5]/x: number mismatch (251.0 != 513.0)
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt	20	children[5]/x: number mismatch (251.0 != 513.0)
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg	20	children[0]/y: number mismatch (96.5 != 358.5)
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt	20	children[0]/y: number mismatch (96.5 != 358.5)
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg	20	children[0]/x: number mismatch (653.0 != 610.0)
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt	20	children[0]/x: number mismatch (653.0 != 610.0)
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg	20	children[0]/x: number mismatch (1343.0 != 563.0)
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt	20	children[0]/x: number mismatch (1343.0 != 563.0)
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg	20	children[0]/x: number mismatch (1559.0 != 1629.0)
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt	20	children[0]/x: number mismatch (1559.0 != 1629.0)
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	20	children[1]/y: number mismatch (359.5 != 278.5)
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	20	children[1]/y: number mismatch (359.5 != 278.5)
realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg	20	children[0]/x: number mismatch (1170.0 != 206.0)
realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt	20	children[0]/x: number mismatch (1170.0 != 206.0)
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	20	children[0]/y: number mismatch (46.0 != 32.0)
