model_rel_path	class	phase_root	phase_reason	diff_bucket	diff_count	top_category	first_diff	phase_signature	phase_symptoms
tickets/layered/425_selfLoopInCompoundNode.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 5, 'unknown': 1}	low_1_5	4	coordinate	children[0]/children[0]/width: number mismatch (30.0 != 10.0)	node_coordinates;other	node_coordinates:3;other:1
tickets/layered/502_collapsingCompoundNode.elkt	other	p4_node_placement	symptom votes={'p5_edge_routing': 1, 'p4_node_placement': 7, 'unknown': 1}	medium_6_19	7	coordinate	children[0]/edges[0]/sections[0]/startPoint/y: number mismatch (4.0 != 24.0)	node_coordinates;ports;edge_routing_sections;other	node_coordinates:3;ports:2;edge_routing_sections:1;other:1
tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 9, 'unknown': 1}	medium_6_19	8	coordinate	children[0]/ports[0]/x: number mismatch (6.285714285714286 != 10.0)	ports;node_coordinates;other	ports:6;node_coordinates:1;other:1
tickets/layered/665_includeChildrenDoesntStop.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 10, 'p5_edge_routing': 1, 'unknown': 2}	medium_6_19	15	coordinate	children[0]/children[0]/children[0]/x: number mismatch (149.4242331510003 != 12.0)	node_coordinates;other;edge_routing_sections	node_coordinates:8;other:2;edge_routing_sections:1
tickets/layered/453_interactiveProblems.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 10, 'p5_edge_routing': 8}	medium_6_19	16	coordinate	children[0]/height: number mismatch (61.0 != 45.0)	edge_routing_sections;ports;node_coordinates	edge_routing_sections:8;ports:6;node_coordinates:2
tickets/layered/213_componentsCompaction.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 40, 'p5_edge_routing': 2}	high_20_cap	20	coordinate	children[0]/children[0]/x: number mismatch (12.5 != 12.0)	node_coordinates;edge_routing_sections	node_coordinates:38;edge_routing_sections:2
tickets/layered/701_portLabels.elkt	other	p4_node_placement	symptom votes={'p4_node_placement': 33, 'p4_label_management': 9}	high_20_cap	20	coordinate	children[0]/children[0]/children[0]/height: number mismatch (52.0 != 44.0)	node_coordinates;label;ports	node_coordinates:22;label:9;ports:9
tickets/layered/352_selfLoopNPEorAIOOBE.elkt	other	p5_edge_routing	top category=section	medium_6_19	6	section	edges[4]/sections[0]/bendPoints[0]/y: number mismatch (64.0 != 118.0)	edge_routing_sections	edge_routing_sections:6
tickets/layered/368_selfLoopLabelsIOOBE.elkt	other	p5_edge_routing	top category=section	medium_6_19	8	section	children[0]/x: number mismatch (22.0 != 12.0)	edge_routing_sections;node_coordinates;label	edge_routing_sections:6;node_coordinates:1;label:1
tickets/layered/302_brokenSplineSelfLoops.elkt	other	p5_edge_routing	top category=section	high_20_cap	20	section	children[0]/y: number mismatch (12.0 != 23.333333333333336)	edge_routing_sections;node_coordinates	edge_routing_sections:19;node_coordinates:1
